City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
220,College,US,64.8569,-147.8028,3.2,85,1,3.44,clear sky
221,Nhulunbuy,AU,-12.2333,136.7667,77.0,100,100,5.75,overcast clouds
222,Sambava,MG,-14.2667,50.1667,80.74,82,28,8.14,light rain
223,Airai,TL,-8.9266,125.4092,63.57,100,92,1.03,overcast clouds
224,Tamiahua,MX,21.2667,-97.45,73.51,86,100,2.24,overcast clouds
225,Alice Springs,AU,-23.7,133.8833,89.6,35,100,10.36,overcast clouds
226,Mitu,CO,1.1983,-70.1733,71.42,99,100,0.94,overcast clouds
227,Biograd Na Moru,HR,43.9433,15.4519,57.99,67,20,11.5,few clouds
228,Puerto Baquerizo Moreno,EC,-0.9,-89.6,80.6,89,40,9.22,scattered clouds
229,Vila Velha,BR,-20.3297,-40.2925,84.0,74,40,4.61,scattered clouds
230,Honiara,SB,-9.4333,159.95,76.32,74,100,1.61,overcast clouds
231,Maneadero,MX,31.7167,-116.5667,53.01,91,85,3.0,overcast clouds
232,Cleveland,US,41.4995,-81.6954,21.0,58,90,9.22,overcast clouds
233,Darhan,MN,49.4867,105.9228,6.76,90,100,3.85,overcast clouds
234,Georgetown,MY,5.4112,100.3354,80.01,89,40,3.85,scattered clouds
235,Konosha,RU,60.9736,40.257,23.27,98,100,8.12,overcast clouds
236,Cuartero,PH,11.3407,122.6694,75.25,87,99,1.01,overcast clouds
237,Kavieng,PG,-2.5744,150.7967,81.84,73,100,4.05,overcast clouds
238,Port Lincoln,AU,-34.7333,135.8667,78.62,41,100,16.73,overcast clouds
239,Arman,RU,59.7,150.1667,-15.92,79,4,8.48,clear sky
240,Mae Hong Son,TH,19.3003,97.9685,67.01,53,0,1.36,clear sky
241,Kabinda,CD,-6.1333,24.4833,80.31,69,87,1.92,light rain
242,Marion,US,39.7684,-86.1555,19.99,73,40,3.44,scattered clouds
243,Christchurch,NZ,-43.5333,172.6333,52.0,87,34,4.61,scattered clouds
244,Labuan,MY,5.2767,115.2417,77.0,94,20,4.59,few clouds
245,Grindavik,IS,63.8424,-22.4338,30.2,74,75,27.63,broken clouds
246,Lasa,IT,46.6166,10.7002,44.6,61,75,4.61,broken clouds
247,Korla,CN,41.7597,86.1469,28.92,78,100,3.58,overcast clouds
248,Boa Vista,BR,2.8197,-60.6733,80.6,69,75,13.8,broken clouds
